epoch,train_loss,train_loss_std,val_loss,val_loss_std,test_loss,test_loss_std
1,0.000990564003586769,0.006033389829099178,9.549761443850002e-07,6.736871682733181e-08,9.481493634666549e-07,7.493361664501208e-08
2,1.055869347510452e-06,4.7056391849764623e-07,5.907166951146792e-07,5.068130803920212e-08,5.990683575873845e-07,5.053849960745538e-08
3,1.2786684919774416e-06,1.0623864454828436e-06,6.829806125097093e-07,4.875360914979865e-08,6.692634997307323e-07,4.99867063297188e-08
4,3.038489376194775e-05,0.00011105162411695346,5.577804813583498e-07,6.447849187907195e-08,5.53044401385705e-07,5.797186730660542e-08
5,2.7274595026938186e-07,1.0326037624963647e-07,1.904452346934704e-07,1.5603168534994438e-08,1.9414129326378315e-07,1.4813883453257404e-08
6,1.7442081912122376e-07,1.9120641070458078e-08,1.4813849702477455e-07,1.3854807079383136e-08,1.486345411194634e-07,1.0686246554314494e-08
7,1.4152719529647584e-07,1.3844026369724816e-08,1.1481505879373799e-07,1.0034275632619938e-08,1.1621000339800958e-07,8.554705388519324e-09
8,1.1173563052579993e-07,1.0880164325044461e-08,9.948602297527032e-08,9.869633998960126e-09,1.0055727983626639e-07,7.304366000937534e-09
9,8.896023473425885e-08,1.049459719126844e-08,8.856714828198164e-08,7.898425913310803e-09,8.81180284295624e-08,5.646781264800893e-09
10,7.139314561754873e-08,8.692335740079216e-09,6.183458367559069e-08,5.5597109138716405e-09,6.300510335677245e-08,4.954561205749997e-09
11,5.800929869792526e-08,7.94967469630592e-09,5.2709445697018964e-08,5.902500710419645e-09,5.2377153281213396e-08,3.5361282790802306e-09
12,4.741900738736149e-08,8.424285269370557e-09,4.669423603331779e-08,4.449295598618619e-09,4.656703112004834e-08,2.7929158985529057e-09
13,3.546876214954864e-08,6.0569638193896935e-09,3.1998364846685945e-08,4.074093507000498e-09,3.169162354765831e-08,2.5090716171405347e-09
14,2.80750782621908e-08,4.453124979875156e-09,1.9511231741375923e-08,2.934798182252507e-09,1.9337281997877653e-08,1.6895653764947838e-09
15,2.5613278609171175e-08,5.749924092413039e-09,2.1216388645939332e-08,2.35597386044617e-09,2.0754891139063147e-08,1.4402627979137606e-09
16,2.152292033485992e-08,7.476605112799461e-09,3.176264939952489e-08,1.7030150623043028e-09,3.1758752072619245e-08,1.5051665469556497e-09
17,6.228484750181451e-08,5.963258331576071e-08,1.1467361815675758e-07,2.063528015128213e-09,1.1472297956061084e-07,2.2118913367563664e-09
18,8.287265274020683e-08,1.09395934089207e-07,2.6795309082672247e-08,1.7792792794679713e-09,2.6248525131222777e-08,1.1191501059215625e-09
19,9.901200570539004e-08,1.16820409346019e-07,4.298461320217939e-08,1.6105344835537494e-09,4.232121852965065e-08,1.0070984046706144e-09
20,7.127226808734122e-08,1.0754136781088164e-07,2.2979776304055122e-07,1.5730751146136868e-09,2.2941749477922713e-07,9.954630453279378e-10
21,9.500978848109298e-08,1.0103687486662238e-07,7.70254899862266e-08,1.2824146189416297e-09,7.721273931338146e-08,1.390976445136971e-09
