epoch,train_loss,val_loss
1,23.484706307138715,4.921333446502685
2,2.758991948536464,1.9945185645421346
3,1.2746978063242775,0.9776296520233154
4,0.9197481659480503,0.7274074244499207
5,0.6695392830882754,0.5100740826129914
6,0.4655423765523093,0.8881481703122457
7,0.42523539760283063,0.2940740833679835
8,0.3454882034872259,0.4285925986369451
9,0.37081611324633873,0.3017777866125107
10,0.368080884622676,0.31851852854092916
11,0.31000152000359127,0.896148165067037
12,0.32148723972695215,0.4561481555302938
13,0.22399961424725395,0.5185185269514719
14,0.2643498708094869,0.4140740793943405
15,0.2796381248533726,0.5871111170450847
16,0.21711038553289005,0.20444444964329403
17,0.25473496530737194,0.07229629814624787
18,0.18147287986108235,0.2072592637936274
19,0.18319345989397595,0.22948148737351098
20,0.2201617995383484,0.16903704116741816
21,0.13503387011055434,0.19125926454861958
22,0.20490992902645042,0.13007407714923222
23,0.1327955271569746,0.08948148367305597
24,0.13686233310295004,0.40488889495531716
25,0.09770504281456982,0.1165925953288873
26,0.15932546174951961,0.23348148783047995
27,0.12689620403306826,0.2989629723628362
28,0.11249930338135787,0.07733333557844162
29,0.11110592527581113,0.6925926089286805
30,0.16360520054187094,0.7124444611867269
31,0.10168173482641578,0.03407407509783904
32,0.07802507326539074,0.33274075071016945
33,0.1117948734095054,0.004296296400328478
34,0.090465285562511,0.011259259593983491
35,0.08620837057541524,0.008444444661339125
36,0.06660416280584676,0.0045925926913817725
37,0.12499986595341138,0.057629631049931046
38,0.07096260557217257,0.09644444689154624
39,0.07452654355870826,0.004444444539646307
40,0.11430804307439497,0.06296296481043101
41,0.05189133470212775,0.01170370403677225
42,0.05595270809185292,0.24385185877482096
43,0.08531170747642006,0.1109629658361276
44,0.07707142781200153,0.013185185578962167
45,0.06134325632692448,0.03081481559822957
46,0.05311644132116011,0.10948148384690284
47,0.11946916504363929,0.1471111154059569
48,0.05512820492232484,0.0016296296690901122
49,0.055495091534352725,0.0026666667312383653
50,0.04941631749538439,0.0026666667312383653
