epoch,train_loss,train_loss_std,val_loss,val_loss_std,test_loss,test_loss_std
1,0.05669425055384636,0.023324942216277122,0.02284103073179722,0.003220207989215851,0.022278854623436928,0.0023865648545324802
2,0.018209204077720642,0.003505212953314185,0.014805092476308346,0.0015433834632858634,0.014608246274292469,0.0015420360723510385
3,0.015049622394144535,0.0044631995260715485,0.013013581745326519,0.0012761829420924187,0.012610048055648804,0.001207402441650629
4,0.009417182765901089,0.0016169706359505653,0.00821753405034542,0.0007630621548742056,0.007841289043426514,0.0007495213067159057
5,0.007413096725940704,0.0012524122139438987,0.0071380590088665485,0.0008564506424590945,0.006687830202281475,0.000880805600900203
6,0.006407645530998707,0.0011223923647776246,0.0066136824898421764,0.0007692805957049131,0.006188358645886183,0.000677448115311563
7,0.0060131787322461605,0.0009745144634507596,0.005972759798169136,0.0007533057359978557,0.005748084746301174,0.0006517390720546246
8,0.0054862466640770435,0.0008273869170807302,0.005702074151486158,0.0006797542446292937,0.005477121099829674,0.0006110644317232072
9,0.0053946212865412235,0.0008137560798786581,0.005588629748672247,0.0007793399854563177,0.005449277348816395,0.0006095498101785779
10,0.0050802105106413364,0.0007751177181489766,0.00557350879535079,0.0007906394312158227,0.005410877987742424,0.0006485127378255129
11,0.005206333007663488,0.0007951960433274508,0.006124670151621103,0.0007612479967065156,0.005954226478934288,0.0006549975369125605
12,0.005165153183043003,0.0007608328596688807,0.0057142507284879684,0.0007030150154605508,0.005508617497980595,0.0005957391695119441
13,0.005090184509754181,0.0007537355995737016,0.00753067946061492,0.000899788283277303,0.007420909591019154,0.0007882429054006934
14,0.0050402795895934105,0.000723535951692611,0.005770268850028515,0.0007847752422094345,0.005629114806652069,0.0006508582155220211
15,0.004935047123581171,0.000836252118460834,0.005506246350705624,0.000740129966288805,0.005198650993406773,0.0005232027033343911
16,0.004889019764959812,0.0006859764689579606,0.005816536955535412,0.0007126947748474777,0.005443710368126631,0.0006127082742750645
17,0.004967696964740753,0.0007728062337264419,0.0056442455388605595,0.0007715783431194723,0.005431315861642361,0.0005512380157597363
18,0.004900517873466015,0.0006510539096780121,0.006210412364453077,0.0009567202650941908,0.0059205759316682816,0.0007610913598909974
19,0.004994414746761322,0.0006995177245698869,0.006217829883098602,0.0007999638328328729,0.006034465506672859,0.000720979121979326
20,0.004850408062338829,0.0007560009835287929,0.00596195412799716,0.0008527860627509654,0.005779716186225414,0.0007166957366280258
21,0.004796837456524372,0.0006355514633469284,0.005578114651143551,0.0007468903204426169,0.005431705620139837,0.0005774402525275946
