epoch,train_loss,val_loss
1,3437.7339524405343,624.2812594500455
2,699.2949635823568,917.4330723502419
3,655.083948416937,730.9198895692825
4,571.2343492598761,573.3973312811418
5,653.6319917951312,815.1407845237038
6,547.1965675626483,693.4738857095891
7,524.6551917439415,781.7002530531449
8,533.5851200239999,822.3701487454501
9,551.8245132446289,553.9712243513627
10,595.7474795386905,634.5265037363225
11,582.9879137311663,561.1698665618896
12,615.8197382427397,641.5080611489036
13,541.5880307515462,633.8654365539551
14,553.4065159661429,765.0490479902787
15,662.6260467347645,593.8160754117099
16,624.0399749755859,601.9735480221835
17,531.3038615022386,588.7280256097966
18,560.8893808591934,1263.6357421875
19,790.1372362772623,868.318004954945
20,548.6726106961568,843.3463183316318
21,551.936991805122,581.4158914305947
22,486.7820670264108,730.4782104492188
23,576.1192702974591,1200.6005824695933
24,536.8195203690302,578.8732136813077
25,532.6047643479847,592.5267530788075
26,517.0909246535529,597.9787940979004
27,504.1510743754251,705.2233841635964
28,535.9669945262727,696.7097237326882
29,510.36071701958065,570.1166469400579
30,562.8194316137404,625.9362056038597
31,537.9476979028611,666.2802948518233
32,501.46750589098247,631.5979947176846
33,550.9805006663005,736.2737877585671
34,499.2906896954491,772.45455308394
35,494.8455083665394,543.3875296766108
36,503.7694955825806,643.951583515514
37,509.6040037336804,661.7113741961392
38,522.2046147482736,620.3895535902543
39,604.4868408611843,579.4187060269443
40,534.1572746458507,546.1311739574779
41,472.10119250161307,956.2782530351119
42,499.0629025777181,613.6518573760986
43,537.4292601630801,563.7929646752098
44,491.53064140138173,623.4327777515758
45,501.8315076918829,540.8339816873723
46,533.8168281373523,615.4720783233643
47,479.2186205863953,808.5968600186435
48,496.1147589547293,681.2144778858532
49,493.5822120394026,565.5880341963334
50,514.2335419518607,579.2781856710261
51,460.6048179535639,685.0488934950395
52,522.3257024765014,632.1867648037997
53,546.7388540722075,725.5685573924671
54,465.8370848973592,621.0089367953213
55,481.54067281995503,647.3559389981357
56,518.5594959486099,866.767424843528
57,481.5990968704224,564.3950362638993
58,493.5120902016049,699.7001617605036
59,481.8831254777454,577.6656511480159
60,497.45000090371997,612.4679312272506
61,454.122061593192,681.4229049682617
62,482.48009641284034,565.5237459702926
63,501.576893888201,628.0135293440385
64,494.10376036507745,650.363972230391
65,513.4377483640399,537.52586442774
66,518.207524054391,551.4270437847484
67,469.43800657363164,608.4439775293523
68,458.63156132470993,577.9384336905046
69,483.5046072051639,585.7160726894032
70,467.0405766555241,641.8836444507946
71,500.3754314967564,568.3604457161643
72,453.12619522185554,564.139948758212
73,501.5593608038766,566.1140443628484
74,492.20918276650565,652.0569229125977
75,502.38214479173934,580.3721896084872
76,480.8004198255993,597.9727035435764
77,467.3645135516212,554.2934155464172
78,442.2601674216134,671.2907687967473
79,465.34716127940584,543.7891563935714
80,471.79140985579716,597.0540880723433
81,457.19083396366665,560.8041056719693
82,497.9687702178955,840.4658324501731
83,508.38396393912177,592.9165370247581
84,459.9317650386265,593.0613838542591
85,501.12486058189756,541.7834441445091
86,502.45625286102296,567.5512587373906
87,474.7977492377872,657.3500955755061
88,487.0057996114095,705.7264234369451
89,475.3539632797241,623.1872406872836
90,488.8306609653291,611.3112895271995
91,491.92132042476106,682.0401756980202
92,499.72213026228405,852.3138328899037
93,497.6809801010858,553.2712859673934
94,515.0512921923682,615.2714888832786
95,462.69872774396623,590.5794916152954
96,492.07200507209416,785.5817669955167
97,518.0180921599979,775.5572369315407
98,490.0122751667386,716.0131714560769
99,451.5370747248332,759.1037563844161
100,470.3105885096959,662.417594389482
