epoch,train_loss,val_loss
1,18369.47888764881,14751.043701171875
2,14027.27943638393,5589.5814208984375
3,2601.780306861514,1537.6830825805664
4,1140.7087253388904,495.45201301574707
5,779.9976241702125,479.9939260482788
6,723.5639919099353,496.0668115615845
7,755.2026761372884,477.1721496582031
8,752.0014407748267,720.793420791626
9,764.6798211960565,491.4783878326416
10,772.147896357945,605.9958267211914
11,762.3031249273391,570.5793619155884
12,734.8066135588147,461.9345531463623
13,782.1699578421457,510.63159561157227
14,900.3438128516788,596.7069139480591
15,687.8689140138172,556.618793964386
16,674.5057976132348,596.7816896438599
17,697.7078841981433,705.8623819351196
18,657.1343328385126,548.194365978241
19,681.552275067284,481.23267555236816
20,670.6225686754499,591.7830533981323
21,686.2727623894101,738.3649072647095
22,644.7636003040132,523.987174987793
23,654.7837511244275,639.9803957939148
24,643.1162786937896,666.608585357666
25,647.6127737136114,735.1544313430786
26,708.4949515206473,545.3274078369141
27,659.7440601530529,574.746241569519
28,649.9273991357712,965.2110290527344
29,638.2538757324219,752.8909521102905
30,626.308367047991,510.10707092285156
31,606.223679905846,671.3033819198608
32,591.8392046065558,701.7746114730835
33,572.5008250645229,590.5637073516846
34,614.1856068202427,1071.7813320159912
35,626.1164212908063,862.136965751648
36,615.557851155599,634.7904605865479
37,571.6719932556152,958.4457864761353
38,576.8429985046387,694.6413288116455
39,588.1400177365258,871.6507043838501
40,563.8335423696609,957.7657566070557
41,544.706672668457,750.5146131515503
42,523.3929745810373,846.5155344009399
43,574.3591686430432,996.938458442688
44,548.0156769525437,951.7989625930786
45,542.4241594587054,907.2680530548096
46,543.8223906017486,786.5099968910217
47,583.4323636917841,730.2039051055908
48,514.2807228451684,932.1328802108765
49,508.74850454784576,834.4267053604126
50,528.0614694867816,817.8236064910889
51,504.07307234264556,963.1534233093262
52,499.48455746968585,975.2550201416016
53,512.6509546552386,1120.413031578064
54,514.4616772787912,1053.618275642395
55,512.7581897917248,993.0643396377563
56,513.3046904064361,1021.7677097320557
57,520.6655293419248,835.1222515106201
58,490.59596179780505,1264.8938102722168
59,490.2842726934524,868.9206314086914
60,496.6273009890602,891.7628307342529
61,478.30004610334123,799.6954441070557
62,478.574131102789,884.1786651611328
63,501.68996865408764,793.3704833984375
64,496.8110928308396,730.0103340148926
65,480.50883538382396,876.6073760986328
66,518.1328518277123,955.9903717041016
67,496.1296106974284,1214.382677078247
68,455.9857119605655,1087.767798423767
69,515.0875077928815,927.8452157974243
70,465.40119479951403,816.6342182159424
71,491.7131600152878,866.3049430847168
72,449.01054182506743,895.2120141983032
73,461.81246257963636,1149.332181930542
74,472.37930988130114,1216.9916076660156
75,476.1680127098447,1087.9059581756592
76,457.40212413242887,1046.2318978309631
77,437.489254906064,907.0283870697021
78,455.65374483381,1081.469150543213
79,462.83130246117,1253.1270084381104
80,468.76278541201634,1082.26793384552
81,446.70125361851285,879.2946376800537
82,460.2671254475911,1056.5387802124023
83,441.1904554821196,942.9238977432251
84,423.58367574782596,1072.3267459869385
85,450.70798901149203,941.8065977096558
86,424.01528603690014,1026.7293710708618
87,446.8862787882487,1021.9282989501953
88,446.9858965192522,1038.8171119689941
89,432.6317425682431,1149.2920360565186
90,441.2229565211705,961.4321031570435
91,448.2790738060361,1028.1195306777954
92,466.9964770362491,867.9515266418457
93,488.8742319742839,753.2000999450684
94,424.05676505679173,960.64772605896
95,465.28517187209354,988.1496915817261
96,477.9120392572312,828.821699142456
97,450.0918015979585,874.4279384613037
98,434.4467515491304,832.6932563781738
99,427.5295591808501,992.864499092102
100,412.3750210716611,1188.565616607666
