epoch,train_loss,train_loss_std,val_loss,val_loss_std,test_loss,test_loss_std
1,0.009197588078677654,0.07956643402576447,1.81990884584593e-07,1.0171624431620785e-08,1.7919249728493014e-07,9.502929998461696e-09
2,1.6668579405632045e-07,1.4109030388453903e-08,1.6287413018289953e-07,1.1051254134031296e-08,1.551830308699209e-07,1.3883894034449895e-08
3,1.4339948961605842e-07,1.3656166863995622e-08,1.287726405507783e-07,6.6795884379189374e-09,1.250706276323399e-07,7.88584753053101e-09
4,1.1786900699917169e-07,1.1406858568818734e-08,1.0596610877655621e-07,5.6764246636475946e-09,1.0174971265541899e-07,6.461035262361747e-09
5,9.462028316420401e-08,8.395535822103284e-09,8.488053282462715e-08,4.382310514472465e-09,8.18453642636996e-08,5.197218655439428e-09
6,7.427254899994296e-08,8.223865144429965e-09,6.529486995532352e-08,2.833447254602106e-09,6.387237050375916e-08,2.537406951219623e-09
7,5.7003145315093207e-08,6.028824994785964e-09,4.916893914241882e-08,2.0806258937966504e-09,4.7591459662044144e-08,2.2418797929191214e-09
8,4.306350831484451e-08,4.137339804088924e-09,3.788901281609469e-08,1.608628452665073e-09,3.6622967769517345e-08,1.8608957708110552e-09
9,3.339758691822681e-08,2.7863977791753314e-09,2.997801828996671e-08,1.2706470320367202e-09,2.900542206418777e-08,1.4821053273550433e-09
10,2.6482803505700758e-08,2.009830524229983e-09,2.4402565301784307e-08,1.0928173921342932e-09,2.365599272025065e-08,1.3207150928451483e-09
11,2.1441126207832895e-08,1.6917378609093703e-09,1.9803529482942395e-08,8.766963821571494e-10,1.911968894319216e-08,1.0658434135280004e-09
12,1.7617930225810596e-08,1.3166576717793532e-09,1.6174565686810638e-08,7.508156318891679e-10,1.5569497691103606e-08,8.871009482547265e-10
13,1.4501249978593478e-08,1.1811107647474728e-09,1.3420903499650194e-08,6.612015379658942e-10,1.2924822989646145e-08,7.185587125313475e-10
14,1.1964530699515308e-08,9.181821414294689e-10,1.1674830879826459e-08,5.985514861528429e-10,1.1180163461688153e-08,6.386139395075929e-10
15,9.676667467317657e-09,1.1338818772799186e-09,8.83443185273336e-09,4.675017595268116e-10,8.496835235405342e-09,4.763904271065655e-10
