epoch,train_loss,val_loss
1,2.2833600449420155,0.31429553709246894
2,1.8289216508467991,9.862235329367898
3,1.0977096916664215,0.3705755282532085
4,0.445214491160143,0.28764254125681793
5,0.35956306414944783,0.24708951196887277
6,0.26783985438800995,0.1924461658028039
7,0.19013418831995554,0.14939366281032562
8,0.14927737918638048,0.0993112555959008
9,0.1296462348174481,0.12264676307412711
10,0.1109958691965966,0.08045359946448695
11,0.12964958401308174,0.16945187823677604
12,0.09729602175454298,0.06650295625017448
13,0.10739615041585196,0.17300062846731057
14,0.09910335405951455,0.05404620143500241
15,0.1215335385253032,0.11281446790830656
16,0.08687841535678932,0.18157143399796702
17,0.09902982204442932,0.13106359473683618
18,0.08347251574907984,0.042245659130540764
19,0.0715885918764841,0.16709353876384822
20,0.07775362043508462,0.03891692141240293
21,0.06939139667721021,0.03830819119783965
22,0.09273578081989572,0.10857672472907738
23,0.09131184626548063,0.09009745124388825
24,0.16324117099422783,0.0439044569872997
25,0.08114273831070888,0.04390589634633877
26,0.07389785053119773,0.03762575586072423
27,0.06425731734683117,0.12388265623965046
28,0.07369721404143742,0.05407106050882827
29,0.06866018367665154,0.0414386461912231
30,0.07303894981741905,0.05181673186069185
31,0.09676981115092834,0.07321812915192409
32,0.08873907098812717,0.05486470443958586
33,0.07814211944739023,0.03948212520812045
34,0.07191757842720974,0.053951626728204166
35,0.08213268545944066,0.07189819614656946
36,0.09466917030513286,0.18169170482592148
37,0.07174464721410047,0.04167320274493911
38,0.11453930401198921,0.10207070541483435
39,0.12477157414846476,0.04927163833582943
40,0.07465828793744246,0.03831679594110359
41,0.07749048449276459,0.06643452982164243
42,0.06640791761733236,0.03461817453022708
43,0.06716645391037067,0.04682378453964537
44,0.08907722128289086,0.04061447689309716
45,0.12961353393537658,0.06408863387663256
46,0.11589881304119315,0.0633908865804022
47,0.08234366920022737,0.08761691225861962
48,0.0714137083983847,0.12458142189478333
49,0.09869437004838671,0.08615185819904912
50,0.12873113634330885,0.06944447696547616
